,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,atbasar,0,KZ,1527098838,49,51.81,68.36,43.02,3.2
1,suoyarvi,68,RU,1527098838,30,62.08,32.35,69.57,5.1
2,aykhal,0,RU,1527098838,80,65.95,111.51,33.93,3.42
3,kupang,0,ID,1527098839,90,-10.16,123.6,79.83,15.61
4,palana,56,RU,1527098839,98,59.08,159.95,27.09,1.97
5,marquette,5,US,1527097560,15,46.54,-87.4,82.4,9.17
6,pevek,12,RU,1527098839,86,69.7,170.27,24.75,3.65
7,atuona,80,PF,1527098839,100,-9.8,-139.03,78.57,15.84
8,tamiami,75,US,1527094560,66,25.76,-80.4,86,11.41
9,coihaique,90,CL,1527094800,87,-45.58,-72.07,50,5.82
11,nago,20,IT,1527096000,77,45.88,10.89,68,5.82
12,tiksi,68,RU,1527098837,88,71.64,128.87,33.03,4.76
13,nhamunda,56,BR,1527098840,94,-2.19,-56.71,80.64,2.42
14,egvekinot,24,RU,1527098841,90,66.32,-179.17,25.38,3.2
15,santa ana,20,SV,1527094200,62,13.99,-89.56,87.8,2.08
16,touros,0,BR,1527098833,70,-5.2,-35.46,85.41,15.73
17,manokwari,56,ID,1527098842,100,-0.87,134.08,81.63,9.01
18,beloha,0,MG,1527098842,63,-25.17,45.06,73.71,10.25
20,acajutla,20,SV,1527094200,70,13.59,-89.83,87.8,5.82
21,ostrovnoy,88,RU,1527098842,86,68.05,39.51,37.26,20.76
22,port hawkesbury,90,CA,1527098700,87,45.62,-61.36,53.6,4.7
23,jamestown,32,AU,1527098843,76,-33.21,138.6,34.83,4.43
24,shitanjing,24,CN,1527098843,55,39.23,106.34,42.48,2.64
25,searcy,75,US,1527094560,78,35.25,-91.74,86,9.17
26,meulaboh,92,ID,1527098844,100,4.14,96.13,78.57,5.66
27,east london,0,ZA,1527094800,63,-33.02,27.91,64.4,3.36
28,la ronge,5,CA,1527094800,41,55.1,-105.3,75.2,4.7
29,leningradskiy,64,RU,1527098844,98,69.38,178.42,20.7,2.53
30,geraldton,75,CA,1527094800,39,49.72,-86.95,62.6,5.82
31,katsuura,75,JP,1527093240,88,33.93,134.5,66.2,12.75
32,gimli,12,CA,1527098600,53,50.63,-96.99,79.11,10.13
33,tarakan,88,ID,1527098845,100,3.3,117.63,79.83,2.08
34,quimper,0,FR,1527096600,37,48,-4.1,71.6,12.75
35,soyo,0,AO,1527098845,72,-6.13,12.37,81,7
36,puerto leguizamo,92,CO,1527098846,100,-0.19,-74.78,72.81,2.64
37,nicoya,40,CR,1527094800,55,10.15,-85.45,89.6,5.82
38,sambava,100,MG,1527098846,100,-14.27,50.17,76.77,20.09
39,moranbah,48,AU,1527098846,83,-22,148.04,48.24,6.44
40,santa barbara,1,US,1527096900,63,34.42,-119.7,62.6,5.21
41,okhansk,0,RU,1527096600,48,57.72,55.39,64.4,11.18
42,kamyshla,32,RU,1527098847,44,54.11,52.14,65.34,4.99
44,northam,20,GB,1527096000,49,51.04,-4.21,71.6,9.17
46,ukmerge,0,LT,1527097800,63,55.25,24.75,62.6,4.7
47,yellowknife,75,CA,1527094800,30,62.45,-114.38,71.6,11.41
48,wawa,0,NG,1527098848,55,9.9,4.41,90.18,4.21
49,komsomolskiy,92,RU,1527098849,95,67.55,63.78,34.2,15.73
50,hilo,90,US,1527095820,94,19.71,-155.08,71.6,6.93
51,mahebourg,75,MU,1527098400,69,-20.41,57.7,75.2,14.99
53,byron bay,40,AU,1527096600,87,-28.65,153.62,60.8,4.7
54,thayetmyo,24,MM,1527098850,97,19.32,95.18,75.42,4.54
